,%top,ER1,ER2,ER3,ER4,ER5,ER6,ER7,EZ,LMW,LVR1,LVR1+4,LVR1+4/3+6,LVR2,LVR3,LVR3+6,LVR4,LVR5,LVR6,LVR7,LVWhole,RS,Rh source,SStoutR1,SStoutR2,SStoutR3,SStoutR4,Type,VB,boron reagent,equivs boron reagent,ligand,mol% Rh,mol% ligand,solvent,substrate,temp,time,yield
0,6,-0.09,0,0,-0.09,0,0,0,0,272.1565006,94.18429025,188.3685805,188.3685805,0,0,0,94.18429025,0,0,20.25598522,279.4546413,1,[Rh(C2H4)2Cl]2,22.51198396,21.5742147,0,0,Lam,348.0319373,B1(C2=CC=CC=C2)OB(C3=CC=CC=C3)OB(C4=CC=CC=C4)O1,2,L3.1,1.5,3,dioxane,O=C1C=CCC1,50,1,88
1,2.333333333,-0.09,0,0,-0.09,0,0,0,0,272.1565006,94.18429025,188.3685805,188.3685805,0,0,0,94.18429025,0,0,20.25598522,279.4546413,1,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)C1=CC=CC=C1,2,L3.1,1.5,3,dioxane,O=C1C=CCCC1,30,1,94
2,79,-0.14,0,0,0,-0.17,0,-0.27,0,204.1514153,53.5297262,53.5297262,53.5297262,0,0,0,0,21.5742147,0,76.07416785,223.0681843,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)C1=CC=CC=C1,2,L3.61,1.5,3.3,dioxane,O=C1C=CCCC1,25,1,93
3,97.5,0.07,0,0,-0.12,-0.17,0,-0.27,0,246.1983655,36.23374097,109.6959113,109.6959113,0,0,0,73.46217037,21.5742147,0,76.07416785,274.95614,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)C1=CC=CC=C1,2,L3.63,1.5,3.3,dioxane,O=C1C=CCCC1,25,1,87
4,91,-0.13,0,0,-0.01,-0.17,0,-0.27,0,282.1983655,56.16618515,133.0544902,133.0544902,0,0,0,76.88830503,21.5742147,0,76.07416785,298.3147188,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)C1=CC=CC=C1,2,L3.65,1.5,3.3,dioxane,O=C1C=CCCC1,25,1,85
5,95.75,0,0,0,0,-0.17,0,-0.27,0,282.1983655,0,0,0,0,0,128.7762607,0,21.5742147,128.7762607,76.07416785,298.3147188,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)C1=CC=CC=C1,2,L3.55,1.5,3.3,dioxane,O=C1C=CCCC1,25,1,91
6,96.5,-0.16,0,0,-0.01,-0.17,0,-0.27,0,294.1983655,70.82571142,147.7140164,147.7140164,0,0,0,76.88830503,21.5742147,0,76.07416785,312.9742451,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)C1=CC=CC=C1,2,L3.67,1.5,3.3,dioxane,O=C1C=CCCC1,25,1,63
7,94,-0.09,0,0,-0.01,-0.17,0,-0.27,0,330.1983655,94.18429025,171.0725953,171.0725953,0,0,0,76.88830503,21.5742147,0,76.07416785,336.3328239,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)C1=CC=CC=C1,2,L3.68,1.5,3.3,dioxane,O=C1C=CCCC1,25,1,91
8,1.25,0,0,0,-0.17,0,0,-0.15,0,220.1827154,64.9564121,86.53062679,86.53062679,0,0,0,21.5742147,0,0,84.57992612,243.0006285,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,151.9199836,CC1=CC=CC=C1B(O)O,1.5,L3.74,1.5,3.3,dioxane,O=C1C=CCCC1,95,1,95
9,2.25,-0.09,0,0,-0.09,0,0,0,1,272.1565006,94.18429025,188.3685805,188.3685805,0,0,0,94.18429025,0,0,20.25598522,279.4546413,1,[Rh(C2H4)2Cl]2,22.51198396,0,28.08309257,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2,L3.1,1.5,3,dioxane/H2O,CC(/C=C/C(C)C)=O,30,3,81
